"","","","","","","","","","","","","","mort"
"",0.882690287539138,0.0117032788968612,0.00269426441690186,0.0262062797333714,0.00872582747165792,0.00673590928031096,0.019050050246709,0.012157018434508,0.026889979954219,0,0,0,0.00042
"",0,0.11377078557897,0.355124189683116,0.0535581694989099,0.000406390405918335,0.000410538491219613,0.144367619732424,0.0532601029063162,0.0232887143997364,0.0546312289240895,0.112821502872224,0.09,0.00042
"",0,0.0385848242769658,0.490840372966405,0.0972559667467289,0.0147129769477467,0.0223843310055391,0.0537778773874004,0.0452071363828062,0.0525666086786034,0.0804330758692579,0.0929227195940561,0.01,0.00042
"",0,0.00561030139620596,0.231730287264949,0.206642823757726,0.0501147178006109,0.0199754657753021,0.0372066770637596,0.036505537717428,0.0367287900606406,0.16401969443517,0.0325529596302436,0.18,0.00042
"",0,0.0215557615595372,0.0758019102425643,0.0216519041088744,0.131857593590304,1.45086546744978e-17,1.20905783455844e-17,8.20812208257281e-18,0.187634445398395,0.13307620968106,0.131472601070485,0.3,0.00042
"",0,1.78310829052066e-17,2.66521730636338e-18,0.410807274497404,2.36908205010078e-18,0.410632404393003,3.25748781888858e-18,3.55362307515118e-18,1.48414537472767e-18,3.34818450398636e-18,2.36908205010078e-18,0.185,0.00042
"",0,4.8413237287588e-17,0.122924119120727,3.67857067312895e-17,4.67751352647312e-17,4.34422689358472e-17,1.3041550801875e-17,5.26560187995555e-17,0.00653268882038613,2.26026103463146e-17,4.19016022759578e-17,0.88,0.00042
"",0,4.88456953457454e-17,2.51364851846367e-17,0.130448244922266,3.43870802092813e-17,4.18493570860339e-17,4.5523526760706e-17,3.91068016666234e-17,3.49555047904282e-17,6.81193639940038e-16,2.84432019876454e-17,0.88,0.00042
"",0,2.01854621107582e-17,0.0645381706516444,1.02506969689486e-17,3.44603034483058e-17,2.97876635810821e-17,1.84822386443294e-17,1.97256164814632e-17,0.0288382484097915,0.0333803224095133,1.33744230173568e-17,0.88,0.00042
"",0,0.02799385967215,0.242500288078984,0.0977684169528003,0.00686403171237153,0.0268534323269439,0.0485829982691413,0.0376305355705963,0.126350550882292,0.330530863161714,0.0535606982672213,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.987476656381307,0,0.00042
"",0,0.0677544577743571,0.295788607452561,0.052289885701056,0.0315390828874647,0.0016950343453341,0.0310550804544248,0.0230418877961027,0.090643352245763,0.113221338278248,0.0737808690667764,0.218434736186078,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
