"","","","","","","","","","","","","","mort"
"",0.87926362398694,0.0128479186545755,0.00589858654084591,0.0177695867911436,0.00785517817722442,0.00733019625330712,0.0223461217757137,0.0152049394387159,0.0281670689766968,0,0,0,0.00042
"",0,0.140683778323656,0.41376541763802,0.0293459648186249,1.86292142884516e-16,1.9423011917305e-16,0.153493753702727,0.0410979746217035,0.0242883130328162,0.0514273313933798,0.0558065224244652,0.09,0.00042
"",0,0.0844553711501276,0.613904043112071,0.0644539611284354,4.25922801815631e-17,8.88797352056284e-17,0.0490229914145536,0.00327164520640127,0.0504382178783535,0.0972067751186292,0.0262782681788304,0.01,0.00042
"",0,2.42348797637511e-16,0.117254313450108,0.552438254362554,1.79521868556461e-05,0.028377188081255,1.71899244156606e-16,6.66345352125932e-17,1.98214635499352e-16,0.121701680909678,1.82361039675558e-05,0.18,0.00042
"",0,0.000597777506028269,0.0645584898739906,0.00187811333736386,0.144554721004271,3.52538972563814e-16,1.14157688490448e-16,1.73649882236647e-16,0.213848633614286,0.168355853070289,0.105977994894694,0.3,0.00042
"",0,1.7013391944991e-15,2.15128489054901e-15,0.448675677736461,1.98283836394178e-15,0.379853666999789,1.67705540618002e-15,1.45617456611906e-15,1.59947754098017e-15,1.65604604953296e-15,1.35079563759832e-15,0.185,0.00042
"",0,2.40268871614487e-16,0.126554822445767,6.24842828361661e-16,8.98904021792607e-16,8.3345675367034e-16,7.65570391798479e-16,8.18827422076319e-16,1.4689703469536e-16,9.00828525460913e-16,9.83378112902821e-16,0.880000000000003,0.00042
"",0,6.96150552615197e-16,5.32141624433767e-16,0.127876760906319,3.79369557106093e-16,3.46029824249841e-16,6.20792504319445e-16,4.96252056781937e-16,5.62811556149983e-16,2.18647453184512e-16,5.22532179313596e-16,0.880000000000002,0.00042
"",0,4.34836865923497e-16,0.0450430797145594,2.99885132141589e-16,4.29405235849241e-16,6.57274602953916e-16,3.37475637135405e-16,4.62374198670499e-16,0.0197266903751376,0.0590392255843501,8.83622303581172e-17,0.880000000000007,0.00042
"",0,0.0124049605851633,0.21815916236496,0.103784794783534,0.0431370300029479,0.00754237456103673,0.0249798751688529,0.00626538591323623,0.14756065116522,0.416153063501664,0.0183304738812192,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.959228520911935,0,0.00042
"",0,0.0474878099295498,0.244126214778751,0.141783168034217,0.08058232889451,0.0110090067553868,0.0121754752384422,0.0327107250361868,0.116093792347533,0.157220320451742,0.0226844287888,0.132427834910287,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
