"","","","","","","","","","","","","","mort"
"",0.823283952866477,0.031200671310768,0.0475132482373732,0.0228731378681897,0.00844346839228952,0.00321555594781657,0.00577408869088526,0.0208578084560656,0.0184016030271211,0,0,0,0.00042
"",0,1.97695571099389e-17,0.911476975054905,1.70493561554335e-18,1.2350016974578e-18,0,7.80164193607383e-19,8.05194726164175e-19,0,0,4.33248164195122e-19,0.09,0.00042
"",0,0,0,0,1.28073185645036e-19,8.3126120990275e-19,0,3.14473854829311e-19,0,0.994461660933336,0,0.01,0.00042
"",0,0,0.0936762975364385,0.729888881842132,1.08252044783636e-19,0,1.36669815867691e-17,3.77303014474845e-19,5.94742599237011e-18,2.71715450085486e-19,5.15687687566544e-19,0.18,0.00042
"",0,0,0,2.26014098182228e-19,0.0311417821175293,3.89712456381506e-18,0.513488494430798,0.000185326550184665,0.0145937078510527,0.108917137005412,0.0313089161470223,0.3,0.00042
"",0,0,1.11048144367615e-18,0.598823712040326,1.0852678385037e-18,1.03476253467353e-18,0.131706788090383,8.94994358344296e-19,0.084795227635969,0,0,0.185,0.00042
"",0,0,2.12949932669656e-20,0,0,0,0.00034084428712637,6.6161185322358e-19,0.000857662046760109,0,0,1,0.00042
"",0,0,3.74144801851593e-19,0,6.5232873779394e-19,0,0.116385295188996,0,0.00581100600556585,8.87991501336244e-19,7.02032305227839e-20,0.88,0.00042
"",0,2.1875147819103e-19,1.07277706679454e-18,0,0,0,0.101399110919221,0,0.0201332653920164,0,0,0.88,0.00042
"",0,0.123846107366899,0.846075043844636,3.29121904137305e-18,0,0,0,0,1.3824030229081e-19,0.0337704552958073,0,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.999663901275327,0,0.00042
"",0,1.04354459309571e-18,8.06169006683371e-19,0,1.06226586793439e-18,0,0.100749528602782,7.11027170839423e-20,0.213823062069018,0.0638862459659722,9.45454551120112e-19,0.629790178315301,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
