"","x"
"1",9.01229130800336
"2",8.99933916735086
"3",8.93421948192337
"4",9.02123231474255
"5",9.12730985605317
"6",9.10492591109331
"7",9.00771002302994
"8",9.27872199867876
"9",9.37337337337337
"10",9.28392588883325
"11",8.92281186770038
"12",8.98046593547354
"13",8.49436312301007
"14",8.97949375200256
"15",9.23767175419621
"16",8.67283579697953
"17",9.12131042492691
"18",9.20053684822019
"19",8.80515736365821
"20",9.03808779627737
"21",9.22328152539657
"22",8.79985583853916
"23",8.74296134500932
"24",8.99841781658689
"25",9.01241987179487
"26",8.66935080023236
"27",8.97346019028543
"28",8.5200985399267
"29",8.91773330929632
"30",8.89084683313643
"31",9.01101101101101
"32",8.95621007949062
"33",9.25180691533025
"34",9.15497187243499
"35",9.15715715715716
"36",9.22855082912761
"37",9.21508542129824
"38",9.10657051282051
"39",9.10546327796678
"40",9.03592742419994
"41",8.97643785158049
"42",9.06032203797164
"43",9.00042058040095
"44",8.64464464464464
"45",9.07542481564604
"46",8.82140998438689
"47",9.34382886672275
"48",9.16591569039752
"49",9.20999919878215
"50",8.89947555946996
"51",9.06031529817111
"52",8.94258488148623
"53",9.25202763592671
"54",8.75738459997997
"55",9.16466346153846
"56",9.07926341072858
"57",9.23714892423575
"58",8.99929880797355
"59",9.16226173314112
"60",8.97764602195337
"61",8.78159170104538
"62",9.12733392098726
"63",9.00808905974692
"64",9.50026028110359
"65",9.07271380821808
"66",9.35022820081672
"67",9.41907051282051
"68",8.80214696280868
"69",8.95399835779945
"70",9.1305914861239
"71",8.74109073436374
"72",8.87140368790918
"73",9.02335456475584
"74",9.15461935845581
"75",8.64852952960974
"76",9.27932077134104
"77",8.81469315814773
"78",8.8070969421471
"79",9.08908948980205
"80",9.11439557798606
"81",9.12367109135684
"82",8.93543735982057
"83",9.10729665311355
"84",9.09163713536349
"85",9.06124899919936
"86",9.22275641025641
"87",8.79200144262558
"88",9.30754135127558
"89",8.71410836570422
"90",9.20170505713542
"91",8.68825213752228
"92",8.83218842001963
"93",8.74699759807846
"94",8.89525106110355
"95",8.99024888372745
"96",9.120221096269
"97",9.21887827636611
"98",9.0074044426656
"99",8.7532041012496
"100",9.18494166700076
"101",9.44503414712303
"102",9.0226467231333
"103",8.62793770268647
"104",9.00973050894967
"105",8.91333092919822
"106",8.83630612776009
"107",9.02806996453688
"108",8.62017180272722
"109",8.99553526738343
"110",8.93368296735192
"111",9.0801745186727
"112",9.08016268958747
"113",9.17368768636555
"114",8.76975146696573
"115",9.11823045020136
"116",8.9940946852167
"117",8.88043260564791
"118",8.74326786393577
"119",8.62224358589197
"120",9.01373483362031
"121",8.81374944914066
"122",8.86828721316727
"123",9.01788754682211
"124",8.75362899189108
"125",8.97664271560955
"126",8.87629650394457
"127",9.12348842796508
"128",8.59791007727109
"129",8.78847964109035
"130",9.28617183121147
"131",9.19139733269254
"132",8.82665011711477
"133",9.22053993431066
"134",8.85769215364281
"135",8.92213410237924
"136",9.20594241781124
"137",9.30679588322454
"138",8.81852230166837
"139",8.89956944027235
"140",9.2988323886964
"141",8.99933916735086
"142",9.23637674483808
"143",9.18193651747272
"144",9.22546918501011
"145",9.21629466519868
"146",8.83141839144882
"147",8.94784262688958
"148",8.63508076622831
"149",9.09819157671279
"150",8.96206585927335
"151",8.86281263141032
"152",8.58149920893998
"153",9.0763374073332
"154",8.85274795705817
"155",8.83701375402911
"156",8.86757698314179
"157",8.7296025628191
"158",8.95603075444498
"159",8.7114918830194
"160",9.08362383299275
"161",8.92689080678428
"162",9.06065830092611
"163",9.12022755498578
"164",9.14170137776354
"165",9.2800640833083
"166",9.28109547356409
"167",8.91126771842716
"168",9.08107458380912
"169",8.8987207463314
"170",9.50082128119867
"171",9.14498587994953
"172",9.10674596023307
"173",9.02392631895085
"174",9.14825866661326
"175",8.99459242940116
"176",8.76992710085717
"177",9.31974287602379
"178",9.31448140508281
"179",8.82729894264659
"180",9.36399295549151
"181",8.94548221114381
"182",8.95731560823256
"183",9.15095472559145
"184",8.98457840977368
"185",8.88613018841479
"186",9.03847309286816
"187",8.96275530636764
"188",9.01447360518888
"189",8.90678526353747
"190",8.69173113150828
"191",8.80144187443677
"192",8.98455497906609
"193",9.32439195275748
"194",8.56158897965722
"195",8.85503213277543
"196",9.06014736504886
"197",9.23018384267233
"198",9.18592079445802
"199",9.2407192343118
"200",9.03172822690489
"201",9.13001720757133
