"","","","","","","","","","","","","","mort"
"",0.8,0.0175331202720195,0.0394094349546535,0.0608650512895483,0.0108019465386688,0.00491216950712693,0.0133261366794999,0.0137468350412756,0.0389887365983392,0,0,0,0.00042
"",0,0.113692925023905,0.356117167448941,0.0530868657457143,2.46002173084214e-18,2.41461662991554e-18,0.143995956649729,0.0530868644100565,0.022783835899718,0.0530868657486098,0.113692926339465,0.09,0.00042
"",0,0.0379393626116354,0.493821725501489,0.0967629019511577,0.0158805313056566,0.0232334752578556,0.0526452512706117,0.0452923069672748,0.0526452526100143,0.0747040784193229,0.0967629019420029,0.01,0.00042
"",0,0.00503871695582513,0.235791053098594,0.205021822333122,0.0511756691842226,0.0204064402609759,0.0357910551842682,0.0357910565018172,0.0357910538676334,0.158867976174547,0.0357910538583043,0.18,0.00042
"",0,0.0206103595705284,0.0761255839463576,0.0206103582522222,0.131681137990409,6.39669743300809e-19,1.30665563421237e-18,1.5050567235214e-18,0.187236692723623,0.131681139315009,0.131681137902562,0.3,0.00042
"",0,3.76959835475607e-18,3.13247208532046e-18,0.408137722820012,3.79711521061569e-18,0.408137725458021,4.08224077290234e-18,4.1897966332133e-18,4.03184258521233e-18,4.5258059022547e-18,4.01269268552898e-18,0.185,0.00042
"",0,2.62245105942384e-18,0.123635285606933,3.39478604157794e-18,6.76579141309703e-18,7.4030414200702e-18,2.75818896342801e-18,6.61936142592556e-18,1.30863421498509e-18,3.7408993324389e-18,7.00513703239646e-18,0.88,0.00042
"",0,9.49342037971662e-18,1.85618672867383e-18,0.124038537412791,5.49108615079619e-18,9.89724143781934e-18,8.58630425320478e-18,6.51036678642976e-18,7.86374715522997e-18,1.38900874895186e-18,4.51463930268491e-18,0.88,0.00042
"",0,5.0313526606812e-18,0.0681436992656156,1.16163294487283e-17,5.82323313433925e-18,4.72685463816327e-18,3.53857012182751e-18,3.43611401246359e-18,0.0272376658208845,0.0272376658174902,1.72439601996374e-18,0.88,0.00042
"",0,0.0276907396515295,0.245512531424289,0.0969976812562866,0.0078887483039549,0.0276907383510768,0.0474927255131265,0.0375917324889063,0.126700651575071,0.32472045220206,0.0573937195510412,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.995944246586854,0,0.00042
"",0,0.0726890333216097,0.31359812423038,0.0545072151389195,0.0408708515026875,0.00905266968466201,0.0317799424129676,0.0272344878667449,0.0954163060481323,0.0999617605940728,0.0908708515031369,0.163598124229929,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
