"","x"
"1",6.65639013452915
"2",6.66225988021553
"3",6.72459009829633
"4",6.50925462731366
"5",6.6960264237814
"6",6.6016579231909
"7",6.7191380277177
"8",6.75299721794128
"9",6.35499048953849
"10",6.55291196026596
"11",6.58827771323264
"12",6.61315826344549
"13",6.68388698664424
"14",6.45374449339207
"15",6.60069312285903
"16",6.545782408335
"17",6.61100766812822
"18",6.56450320512821
"19",6.46950462536542
"20",6.63635271022796
"21",6.78308933971522
"22",6.59978774954446
"23",6.6849633398774
"24",6.59257034144388
"25",6.50719237087791
"26",6.67454578233609
"27",6.90021231422505
"28",6.49051463370661
"29",6.69149447381067
"30",6.5595769823943
"31",6.64664664664665
"32",6.48926798013775
"33",6.73446508648302
"34",6.79197693970694
"35",6.8484375312794
"36",6.7654419861848
"37",6.74650059074434
"38",6.54372159147794
"39",6.65879433191898
"40",6.49147755723356
"41",6.52813644826136
"42",6.84668082208245
"43",6.80994251607347
"44",6.38864418995756
"45",6.55675307504307
"46",6.48809881288411
"47",6.68843395697288
"48",6.51873510504075
"49",6.61872233017488
"50",6.71671671671672
"51",6.56693102619563
"52",6.64971875813199
"53",6.52221799467329
"54",6.46065728075621
"55",6.71007814065318
"56",6.51281948641995
"57",6.4618834978674
"58",6.61443513805955
"59",6.49069753469649
"60",6.79286858974359
"61",6.72489432881268
"62",6.55905149105766
"63",6.61928120933026
"64",6.70551017139196
"65",6.58526821457166
"66",6.51651651651652
"67",6.43597090588495
"68",6.59243832105094
"69",6.41667334027388
"70",6.64517679093421
"71",6.48455961869668
"72",6.51930161781195
"73",6.58977593560401
"74",6.80498257700164
"75",6.52456980308099
"76",6.79164413467123
"77",6.46692435561074
"78",6.29929140478002
"79",6.50733601553274
"80",6.68308900104142
"81",6.46304117211425
"82",6.69002803364037
"83",6.59576172735649
"84",6.70030838239417
"85",6.66439782190903
"86",6.59402291483054
"87",6.4266116596239
"88",6.56693102619563
"89",6.61926697376327
"90",6.59593634270844
"91",6.57963237355332
"92",6.54972867984221
"93",6.31831831831832
"94",6.62675929448037
"95",6.59193273946552
"96",6.6567869587856
"97",6.53013833003023
"98",6.41674839381142
"99",6.56909462219197
"100",6.57229930226963
"101",6.57454691098428
"102",6.29768317347164
"103",6.79757401068876
"104",6.55028827674568
"105",6.6802917367957
"106",6.5074662716682
"107",6.47196682891653
"108",6.76452329935719
"109",6.67988226106806
"110",6.56856856856857
"111",6.57020493115594
"112",6.63688449056453
"113",6.55619596541787
"114",6.61406916438054
"115",6.5072402811993
"116",6.56269394782678
"117",6.59017181304818
"118",6.63303101287365
"119",6.61913440547956
"120",6.58990788946736
"121",6.82760693178403
"122",6.47325004004485
"123",6.81827289120417
"124",6.54851306698708
"125",6.76313998638966
"126",6.52857629359563
"127",6.73088476789362
"128",6.68388698664424
"129",6.62662662662663
