"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",1.02020404080816
"6",6.8547983588512
"7",8.03124374123773
"8",8.56627592425609
"9",9.45363408521303
"10",0.930186037207442
"11",6.81340670335168
"12",7.73773773773774
"13",8.50190266372922
"14",9.30581989381949
"15",0.80040020010005
"16",6.97697697697698
"17",7.7323717948718
"18",8.29825616355983
"19",9.51283079390537
"20",0.900180036007201
"21",7.1735867933967
"22",7.67690921829647
"23",8.06209313970956
"24",9.81767180925666
"25",0.97009700970097
"26",6.30126025205041
"27",8.06322529011605
"28",8.08646917534027
"29",9.12912912912913
"30",0.970485242621311
"31",6.98349174587294
"32",7.82547783448414
"33",8.68041649979976
"34",9.0244391025641
"35",1.04052026013006
"36",6.76608948053248
"37",7.49899879855827
"38",8.47186060484679
"39",9.236625926668
"40",0.850340136054422
"41",7.21721721721722
"42",7.90185277916875
"43",8.39511120016029
"44",9.23940274576611
"45",0.960192038407682
"46",6.70201060318095
"47",7.845491844291
"48",8.68868868868869
"49",9.57436154231347
"50",1.12011201120112
"51",6.63398038823294
"52",7.25798378216038
"53",8.16387859360914
"54",8.60721442885771
"55",0.91009100910091
"56",6.74539631705364
"57",7.87787787787788
"58",7.83645655877342
"59",9.40633774568793
"60",0.920460230115058
"61",6.51782138566279
"62",7.7732144645898
"63",8.73659953912434
"64",9.00250626566416
"65",0.910182036407282
"66",6.81340670335168
"67",7.90632506004804
"68",7.82861147261988
"69",9.61249624511865
"70",0.910455227613807
"71",6.92692692692693
"72",7.62915498598318
"73",8.31163629080713
"74",9.64736525746343
"75",0.890356142456983
"76",6.71537229783827
"77",7.58834718190009
"78",8.09294871794872
"79",8.98887664094599
"80",1.1002200440088
"81",6.6079295154185
"82",7.78323149353902
"83",8.2389495840433
"84",9.28506968815803
"85",0.760532372660863
"86",6.63863021928507
"87",7.82565130260521
"88",8.24979951884523
"89",9.26408662522559
"90",1.04010401040104
"91",6.90345172586293
"92",7.57833616978677
"93",8.15222834251377
"94",9.38971840865818
"95",0.860430215107554
"96",6.92762038242066
"97",7.16217569868777
"98",8.46778234292013
"99",9.41447764186886
"100",0.820492295377226
"101",6.75675675675676
"102",7.39887865438526
"103",8.57200080112157
"104",8.80408653846154
"105",0.890712570056045
"106",6.67868228697306
"107",7.90264423076923
"108",8.03365721726936
"109",9.68323977546111
"110",0.960576345807485
"111",7.07849419303164
"112",7.76086521129581
"113",8.5528292438658
"114",9.56913827655311
"115",0.830332132853141
"116",6.66533226581265
"117",7.4904866813539
"118",8.5027541311968
"119",9.51713083550391
"120",0.860602421695187
"121",7.23796175793373
"122",8.2315241337873
"123",8.1871931055216
"124",8.91585598234881
"125",0.85051030618371
"126",7.2658126501201
"127",7.40036050470659
"128",8.01282051282051
"129",9.43982362962221
"130",0.630504403522818
"131",6.88895564233504
"132",7.48272062506261
"133",8.21807977550611
"134",9.3242430318829
"135",0.860430215107554
"136",6.93485439807866
"137",8.02444399919856
"138",8.29825616355983
"139",9.2650155419633
"140",1.08054027013507
"141",6.72672672672673
"142",8.45352564102564
"143",8.75663761146178
"144",9.49278267842823
"145",0.850595416791754
"146",6.70670670670671
"147",7.57287388560553
"148",7.80717578673081
"149",9.52380952380952
"150",0.830249074722417
"151",6.70402241344807
"152",7.66843527880669
"153",8.61205687963148
"154",9.65123271196633
"155",0.800480288172904
"156",6.78610749674707
"157",8.04367424621857
"158",7.96593186372745
"159",9.20933961318769
"160",0.800240072021607
"161",6.71201360408122
"162",7.92634107285829
"163",8.40344551282051
"164",9.39879759519038
"165",0.730146029205841
"166",6.3951160928743
"167",7.9094913896676
"168",8.5027541311968
"169",8.91694219016131
"170",0.890534320592355
"171",6.73471430001001
"172",7.82626100880704
"173",8.76051261513817
"174",9.46419629444166
"175",0.860258077423227
"176",7.45447268361017
"177",7.49674707236513
"178",8.86975673240565
"179",9.28392588883325
"180",0.830249074722417
"181",7.22433460076046
"182",7.82626100880704
"183",8.80144187443677
"184",9.56626264649905
"185",0.910273081924577
"186",6.96348174087044
"187",8.35835835835836
"188",8.29243865798698
"189",9.31048306273802
"190",0.980392156862745
"191",6.68601741567411
"192",8.05046560528687
"193",8.14302884615385
"194",9.88074957410562
"195",1.000200040008
"196",6.72470729510657
"197",7.71849033937331
"198",8.33249874812218
"199",8.95148356054531
"200",0.940188037607522
"201",6.82341170585293
"202",7.54603682946357
"203",8.47847847847848
"204",9.51046150765842
"205",1.03061837102261
"206",6.27564808327495
"207",7.89341881198037
"208",8.16551447750726
"209",9.10002004409701
"210",0.700210063018906
"211",6.56459521665166
"212",7.77777777777778
"213",8.09971966359631
"214",9.50425638457686
"215",0.940376150460184
"216",6.88826591910292
"217",8.06209313970956
"218",8.65904990980156
"219",9.69423558897243
"220",0.880264079223767
"221",7.25580464371497
"222",8.24484071328391
"223",8.28657314629258
"224",9.3925421010425
"225",0.850255076522957
"226",6.32442709896928
"227",7.53829212133347
"228",8.02122972161025
"229",9.21566663327657
"230",1.0808646917534
"231",6.37893050270378
"232",7.68229166666667
"233",8.35503907032659
"234",9.29416482855424
"235",0.830166033206641
"236",6.75405243145887
"237",7.79857843627991
"238",7.99038750375488
"239",9.07361041562344
"240",0.880528316990194
"241",6.95835002002403
"242",7.69230769230769
"243",8.19639278557114
"244",9.7233360064154
"245",0.930372148859544
"246",6.54523618895116
"247",7.75162744116174
"248",8.41514726507714
"249",8.95971136500301
"250",1.03072150505354
"251",7.01842210652783
"252",7.62219551282051
"253",8.56799278484818
"254",8.86215538847118
"255",0.850170034006801
"256",7.14214264279284
"257",7.62839123035339
"258",8.80408653846154
"259",9.16649969945903
"260",1.00050025012506
"261",6.61529223378703
"262",7.81093530943321
"263",8.46438946208555
"264",8.95148356054531
"265",0.94
"266",6.66466526568598
"267",8.16816816816817
"268",7.93873260586645
"269",9.54431647471207
"270",0.900360144057623
"271",6.87687687687688
"272",7.30950235305898
"273",8.05288461538462
"274",9.47895791583166
"275",0.830332132853141
"276",6.30567510759684
"277",7.48047266172642
"278",8.10458825886596
"279",9.59110042092604
"280",0.830415207603802
"281",6.78746621283412
"282",8.01442596674013
"283",8.65249649087628
"284",9.2778335005015
"285",0.840168033606721
"286",6.75405243145887
"287",7.79623698959167
"288",8.20738664798318
"289",8.97076491790148
"290",0.830415207603802
"291",6.45516413130504
"292",8.01962354825791
"293",8.01121570198278
"294",8.99979955902987
"295",0.800480288172904
"296",6.96696696696697
"297",7.82721988374424
"298",8.23140164427512
"299",9.25777331995988
"300",0.810324129651861
"301",6.48583725352817
"302",7.89104746645303
"303",8.17553351367598
"304",9.09910812706684
"305",0.920552331398839
"306",6.77609848863978
"307",8.08374236201543
"308",8.38845460012026
"309",9.80549428514137
"310",0.890356142456983
"311",6.68802563075691
"312",7.69307823299609
"313",8.64989475794327
"314",9.71428571428571
"315",0.830498298979388
"316",6.75540432345877
"317",7.8301792330029
"318",8.10377641991385
"319",9.28320802005013
"320",0.950380152060824
"321",7.20504353047133
"322",7.44744744744745
"323",7.93189784677016
"324",9.56817954112814
"325",1.10044017607043
"326",6.6453162530024
"327",7.99038750375488
"328",8.03124374123773
"329",9.76660322548332
"330",0.980196039207841
"331",7.00420252151291
"332",7.67614091273018
"333",8.28911802983282
"334",8.98167617903274
"335",0.920184036807361
"336",6.57460222155509
"337",7.81938325991189
"338",8.41177648708192
"339",8.86329494241362
"340",0.8306645316253
"341",6.71873435466106
"342",7.32391543933474
"343",7.82957393483709
"344",9.48656237464902
"345",1.02061236742045
"346",6.64664664664665
"347",7.48973665765495
"348",8.26239359038558
"349",9.54909819639279
"350",0.950190038007601
"351",6.28377026215729
"352",7.42891469763716
"353",8.19064784219485
"354",9.23755134756036
"355",0.880176035207041
"356",7.0328131252501
"357",7.73851236359996
"358",8.36338141025641
"359",9.2193606573805
"360",0.760456273764259
"361",6.39447613329331
"362",7.91266025641026
"363",8.41514726507714
"364",8.94699929866747
"365",0.810405202601301
"366",6.77542033626902
"367",7.33733733733734
"368",8.03204807210816
"369",9.64736525746343
"370",0.870522313388033
"371",6.47518014411529
"372",7.78934721665999
"373",8.67127265445079
"374",9.14829659318637
"375",0.850425212606303
"376",6.81613452106896
"377",7.94032241914489
"378",8.39511120016029
"379",10.0310652369977
"380",0.940470235117559
"381",6.50715787366103
"382",7.44265250926575
"383",8.45776129872733
"384",9.28506968815803
"385",0.770385192596298
"386",6.81749924917409
"387",8.5044575778824
"388",8.26487677820076
"389",9.60921843687375
"390",0.710497348143701
"391",6.53653653653654
"392",7.57985380995294
"393",8.32415105679655
"394",9.19021848065745
"395",0.83008300830083
"396",6.37254901960784
"397",6.64465125587911
"398",8.29912904194614
"399",9.35777978158501
"400",0.680136027205441
"401",6.53326663331666
"402",7.71617293835068
"403",8.34000800961153
"404",9.27298217504506
"405",0.730584467574059
"406",7.02773050355391
"407",7.47972364073295
"408",8.41346153846154
"409",9.76953907815631
"410",0.73007300730073
"411",6.15246098439376
"412",8.13650920736589
"413",8.2982982982983
"414",9.00440705128205
"415",0.770231069320796
"416",6.73471430001001
"417",8.14058275758486
"418",8.43349358974359
"419",9.37969736446538
"420",0.980294088226468
"421",6.62662662662663
"422",7.69076707390346
"423",8.48782443130574
"424",9.20393021856828
"425",0.940470235117559
"426",6.40512409927942
"427",8.26992390869043
"428",8.40512923261871
"429",9.48802725177838
"430",1.00030009002701
"431",6.78542834267414
"432",7.60913095714858
"433",8.27993592310773
"434",9.65254831280665
"435",0.860258077423227
"436",6.6573230553609
"437",8.48357371794872
"438",8.28657314629258
"439",8.69260076198115
"440",0.820164032806561
"441",6.80544435548439
"442",7.47120681021532
"443",8.02283653846154
"444",9.02346099859635
"445",0.860344137655062
"446",6.82751026128742
"447",7.28019226917685
"448",8.24484071328391
"449",9.6302234692855
"450",0.890356142456983
