"","","","","","","","","","","","","","mort"
"",0.868338456137728,0.0214240001867639,0.0154633504585866,0,0.0236756526013827,0.0144257649995237,0.0133844188036579,0.0148392107525096,0.0280921167918876,0,0,0,0.00042
"",0,3.72148985127144e-16,0.468726929442626,0,0.414099589628662,2.27089011949791e-16,0,0,0,2.33555534215579e-16,0.026548272128388,0.09,0.00042
"",0,0,0.28046712537774,0,0.247772909894386,0.051010587282023,0,0,0.0689952913173478,0.300115648021503,0.0415950129950707,0.01,0.00042
"",0,0.0556354700066098,0.230856173608981,0.145008755539383,0.01182534023726,0.00303195897949964,0.0342548869019143,0.0005913591553769,0.123497614276333,0.182230398910085,0.0316965961505901,0.18,0.00042
"",0,0,0,0,0,0,0,0,0,0.703253855655002,0,0.3,0.00042
"",0,0,0,0,0,0,0,0,0.823833921617561,0,0,0.185,0.00042
"",0,0,0,0,0.120417899304511,5.20482617396451e-16,0,0,0,0,0,0.88,0.00042
"",0,0,0,0,0,0.0603436015918208,0,0,0.0682139990432132,0,0,0.88,0.00042
"",0,0,0,0,0,0,1.54638526235082e-16,1.15605665524372e-16,1.13875300538406e-16,0,0.00135012843433282,1,0.00042
"",0,0.0373049001523418,0.884389802281085,0,0,0.0124060816728843,0.052157833069652,0.0148622699611348,5.93538892272936e-17,0,0,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.946231358315259,0,0.00042
"",0,0,1.81185979137667e-16,0.999999999999999,0,3.328054006697e-16,0,0,0,0,3.46222079881821e-16,0,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
