"","","","","","","","","","","","","","mort"
"",0.8368439979934,0.0101525475718318,0.0488588654322521,0.0176955627466,0.00901767440546191,0.00439019043731155,0.030975381699573,0.0107388289257988,0.0231311407400405,0,0,0,0.00042
"",0,0,0,0,0.410647968627141,2.72644830395568e-20,0.256158267411965,0,0.24317004991353,2.94857254581982e-19,9.44987136174338e-20,0.09,0.00042
"",0,9.30496256752286e-19,0.000627111633244241,8.41742872552194e-20,8.26135959873874e-19,0,6.18206808494852e-19,0,0,0.991327007618334,0,0.01,0.00042
"",0,0,0,0.0810225594401023,1.40039734576971e-19,0,0.172081319842629,0.345993621248855,0.227685708874534,3.43381550188079e-19,3.88092107518336e-19,0.18,0.00042
"",0,0.117661116397515,0.35516330409049,2.67699311523296e-17,9.38880182849777e-19,1.41648313964373e-18,8.19355077284701e-19,7.47930596591619e-20,2.41845634291871e-19,0.22728446199132,3.4883094906482e-19,0.3,0.00042
"",0,0.238711360410436,0.463259017719282,0.113072068538027,0,4.78225983601138e-20,1.09226513846894e-19,1.96045239967977e-20,4.42201686438703e-19,0,0,0.185,0.00042
"",0,0,0,0,0,3.07758964210646e-19,0,0,0,0.000412400518867299,2.10609619874814e-19,1,0.00042
"",0,7.43089344376995e-20,0.121807544514347,3.53997488692749e-18,1.40791393462005e-19,0,2.72156920222952e-19,1.3145790293274e-19,0,1.09883668958431e-19,1.91983716165502e-19,0.88,0.00042
"",0,1.0140592174999e-18,9.00796528552372e-19,1.67243802900842e-20,1.26335384553298e-19,0,0.00197011859543921,8.75270836175058e-19,2.93754210621549e-17,0.00116407159136099,4.29474263506581e-19,1,0.00042
"",0,1.35021009861736e-19,0.350498933113227,1.1751022123465e-19,0,0,9.05626710733051e-20,6.75116831979186e-19,0,0.651943983998069,0,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.999065838639964,0,0.00042
"",0,0.0335687347857429,0.0137324444203388,0.243188811528106,7.29979685431284e-19,0,1.58271034392824e-20,8.39110751286781e-20,1.19687916631312e-18,7.34236144923761e-19,7.58481683146831e-20,0.725715488833156,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
