"","","","","","","","","","","","","","mort"
"",0.922382128260487,0.00406887803808191,0.0231731608295766,0,0.00445128925081455,0.000970920272278094,0.0139327023538182,0.00583854710951518,0.0240471671111364,0,0,0,0.00042
"",0,1.21177988147347e-18,0.337421249387951,0.240052365430701,0,0,0,0.335150567803731,5.03347033825055e-20,1.34918468300489e-19,0,0.09,0.00042
"",0,0.0403902988395081,0,2.93793521431046e-19,4.03243898345823e-20,0,0,0,0.438883534095172,0.367346003572497,0.143541196629679,0.01,0.00042
"",0,3.56688447884468e-20,0,0.827740919248048,2.0058787622238e-20,2.8072306973969e-19,3.22692465117103e-19,2.74428653963971e-19,0,2.55302085430231e-19,0,0.18,0.00042
"",0,4.3051800904721e-19,1.5056106360724e-18,0,0,0,4.03882978065366e-20,0,0.70061871102373,3.43147388808228e-20,6.91153253352093e-20,0.3,0.00042
"",0,0.0814595329229491,0.0814595329229491,0.0814595329226625,0.0814595329225252,0.0814595329225952,0.0814595329230394,0.0814595329231302,0.0814595329228038,0.0814595329217995,0.0814595329231032,0.185,0.00042
"",0,2.19645572107315e-19,3.32145562631392e-19,1.11521204366743e-19,0,3.3344428565418e-19,0,3.26185540136445e-20,0,0.00536349827523359,2.23602236593106e-19,1,0.00042
"",0,6.53981081889335e-19,0,6.14068007443164e-19,7.57516335250693e-20,0,2.87585957048826e-19,0,8.2793717970222e-21,0.0005143934922011,0,1,0.00042
"",0,1.39717126766762e-19,3.53204231243512e-19,0.132282046285157,5.63948164148127e-19,0,3.62825562397627e-19,1.75952246281653e-19,6.63597766108032e-20,0,0,0.88,0.00042
"",0,0,0.00214349627894047,3.59526118435058e-18,6.60327441731499e-20,2.00117454882413e-19,5.99580176117738e-20,0,5.79076051248942e-19,1,0,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.999580000000393,0,0.00042
"",0,5.98015785963486e-20,3.40193133768861e-19,0,0,0,0,0,0.111981414679219,0.103864311424328,5.21114866748063e-20,0.793686180553457,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
