"","","","","","","","","","","","","","mort"
"",0.94,0.000997623931297328,0.00367433164896407,0.00833758389603449,0.00193673373279522,0.000986783134525324,0.00205000013922402,0.00189782258370005,0.0133913729730816,0,0,0,0.00042
"",0,0.0909579025050578,0.0909579025050585,0.0909579025048054,0.0909579025048356,0.0909579025049108,0.0909579025049466,0.0909579025051375,0.0909579025054572,0.0909579025050003,0.0909579025050511,0.09,0.00042
"",0,0.0989600052991191,0.0989600052991173,0.0989600052989972,0.0989600052988007,0.0989600052982597,0.0989600052985277,0.0989600052989858,0.098960005300155,0.0989600052999725,0.0989600052979832,0.01,0.00042
"",0,3.05041505377622e-18,0,0.410900273161965,1.94535143934869e-18,1.57074223581027e-18,0.105836141224688,0,0.18890434771237,0.114042438841303,0,0.18,0.00042
"",0,3.7328601802503e-18,3.23304755959644e-14,1.85689077181124e-17,7.87602170904497e-18,5.36173495592129e-18,1.02372425118089e-17,7.7685090685401e-18,0,0.615766438052094,0.0837696245178998,0.3,0.00042
"",0,6.62926708161003e-18,0.189325061516688,0,6.60665117441532e-17,3.33549549170309e-18,0.0853539447816653,8.07942087642817e-18,0.540067645799154,0,2.58455953358956e-18,0.185,0.00042
"",0,3.70024439450462e-19,2.06239692907222e-19,4.03050647684845e-18,0,0,0,8.78021919663195e-18,0,4.0906312031946e-18,4.02086957948381e-19,1,0.00042
"",0,0,8.97283425093351e-18,0.119582200166962,0,0,0,0,6.9796550033039e-18,0,0,0.88,0.00042
"",0,0,0,1.1360911715009e-18,7.50999235474754e-20,0,0,0,7.50394957410497e-17,0,2.67679851963098e-18,1,0.00042
"",0,0.0999627747486291,0.0999627747486291,0.0999627747494307,0.09996277474865,0.0999627747494397,0.0999627747488327,0.0999627747498393,0.0999627747498723,0.0999627747502101,0.0999627747496457,0,0.00042
"",0,0,0,0,0,0,0,0,0,0,0.999696206015764,0,0.00042
"",0,0,1.56237833951785e-17,0,0,0,1.88437158451553e-18,0,0,9.67718320590238e-17,0,1,0.00042
"muerta",0,0,0,0,0,0,0,0,0,0,0,0,1
